成果单元名称,新图号,旧图号,比例尺,成果类型,生产时间,版本,所属项目,密级,大地基准,高程基准,投影,数据格式,分发单位,链接地址,整体现势性

曾母暗沙,A49,A-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

南通礁,B49,B-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

安渡滩,B50,B-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

南威岛,C49,C-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

太平岛,C50,C-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

中建岛,D49,D-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

黄岩岛,D50,D-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

,E48,E-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

三亚市,E49,E-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

中沙群岛,E50,E-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

,E51,E-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

普洱市,F47,F-47,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

崇左市,F48,F-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

广州市,F49,F-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

香港,F50,F-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

高雄市,F51,F-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

亚东县,G45,G-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

错那县,G46,G-46,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

大理市,G47,G-47,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

昆明市,G48,G-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

衡阳市,G49,G-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

福州市,G50,G-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

台北市,G51,G-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

,G52,G-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

普兰县,H44,H-44,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

日喀则市,H45,H-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

拉萨市,H46,H-46,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

昌都县,H47,H-47,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

成都市,H48,H-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

长沙市,H49,H-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

武汉市,H50,H-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

上海市,H51,H-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

,H52,H-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

乔戈里峰,I43,I-43,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

噶尔县,I44,I-44,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

改则县,I45,I-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

安多县,I46,I-46,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

玉树县,I47,I-47,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

宝鸡市,I48,I-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

西安市,I49,I-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

南京市,I50,I-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

南通市,I51,I-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

,I52,I-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

喀什市,J43,J-43,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

和田市,J44,J-44,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

且末县,J45,J-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

格尔木市,J46,J-46,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

西宁市,J47,J-47,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

兰州市,J48,J-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

太原市,J49,J-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

北京市,J50,J-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

大连市,J51,J-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

吐尔尕特山口,K43,K-43,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

伊宁市,K44,K-44,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

乌鲁木齐市,K45,K-45,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

哈密市,K46,K-46,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

额济纳旗,K47,K-47,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

巴彦淖尔市,K48,K-48,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

呼和浩特市,K49,K-49,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

张家口市,K50,K-50,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

沈阳市,K51,K-51,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

吉林市,K52,K-52,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

塔城市,L44,L-44,1000000,矢量地图数据,2020,2021公众版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GEODATABASE,国家基础地理信息中心,http://www.ngcc.cn/,2019

