成果单元名称,新图号,旧图号,比例尺,格网间距,成果类型,生产时间,版本,所属项目,密级,大地基准,高程基准,投影,数据格式,分发单位,链接地址,编号,格网间距(精确),整体现势性,数据名称
曾母暗沙,A49,A-49,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
南通礁,B49,B-49,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
安渡滩,B50,B-50,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
南威岛,C49,C-49,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
太平岛,C50,C-50,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
中建岛,D49,D-49,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
黄岩岛,D50,D-50,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
,E48,E-48,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
三亚市,E49,E-49,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
中沙群岛,E50,E-50,1000000,240,数字高程模型,2014,2015版,国家1:100万基础地理信息数据库更新,公开,2000国家大地坐标系,1985国家高程基准,地理坐标系,GRID,国家基础地理信息中心,http://www.ngcc.cn/,,10″,2012,
