m52c004003 嘉荫县
i49c001001 王益区
g51c001001 温州市
i48c001004 平凉市
k45c003003 南山
g48c004004 南丹县
h50c001004 常州市
h51c003002 宁波市
l51c001003 齐齐哈尔市
m51c001003 新林区
k51c002003 铁岭市
h45c004001 吉隆县
k46c003002 大黑山
k45c001002 雀尔沟镇
l44c002003 958高地
l46c004001 雀仁乡
e49c001001 东方市
g45c001002 樟木镇
g50c004003 厦门市
g47c003002 腾冲县
h49c001001 开县
i45c001001 羊湖
i47c002002 玛多县
h49c003001 黔江区
H51 上海市
J44 和田市
i44c004003 革吉县
m51c004003 阿荣旗
j44c004003 于田县
L49 达来苏木
i45c004004 多玛乡
k52c003001 白山市
m51c001002 阿龙山镇
f50c001001 惠州市
i45c003003 措折强玛乡
h46c004003 杂日乡
k51c004001 葫芦岛市
j45c001004 农二师36团团场
m45c004002 哈巴河县
l52c004003 牡丹江市
m51c004002 扎兰屯市
D49 中建岛
j50c001002 北京市
j44c002003 达里亚博依乡
h47c001004 炉霍县
k47c003004 额济纳旗
i47c004004 阿坝县
j44c004004 叶亦克乡
G50 福州市
i48c001002 定西市
j48c003004 定边县
i46c001003 不冻泉
j44c004002 恰哈乡
h50c004003 上饶市
I49 西安市
m50c004003 新巴尔虎左旗
C49 南威岛
h47c004004 里庄乡
i50c004001 信阳市
k49c001003 二连浩特市
i48c004003 广元市
g46c001004 迪新
i45c001003 玉帽山
h45c001002 来多乡
j50c002003 黄骅市
l51c004002 瞻榆镇
g49c004001 柳州市
F49 广州市
g49c003004 郴州市
J48 兰州市
g50c004004 泉州市
k48c004001 阿拉腾图雅嘎查
l45c002002 和布克赛尔蒙古自治县
m45c003003 奎屯山
h46c001003 比如县
k51c003003 沈阳市
g46c001001 达嘎切
h50c004002 南昌市
k50c001001 查干淖尔镇
h47c002004 康定县
k52c001001 吉林市
l52c003004 鸡西市
h48c001002 绵阳市
i50c004003 蚌埠市
k46c004004 敦煌市
j44c001004 塔中串珠油田集中发电站
k51c001004 长春市
i44c001001 河西岗
g48c001001 西昌市
l50c003002 东乌珠穆沁旗
i51c004001 南通市
h49c003003 常德市
m51c001001 莫尔道嘎镇
k46c002002 五堡乡
I48 宝鸡市
d49c001003 中建岛
f49c003002 湛江市
j47c003001 德令哈市
f50c002002 陆丰市
i47c003001 玉树县
k44c003003 拜城县
g48c001004 遵义市
h49c003004 岳阳市
i49c001003 侯马市
g49c002004 衡阳市
g48c001002 昭通市
l45c003003 三个泉管理站
h47c003002 芒康县
l52c002002 铁力市
G49 衡阳市
l44c002004 塔城市
h48c004002 宜宾市
i44c001004 黑石北湖
l50c003003 道特淖尔镇
E50 中沙群岛
g49c001004 株洲市
j50c003004 东营市
J51 大连市
k46c004002 笔架山
i51c001001 灵山卫镇
g47c004004 双柏县
I51 南通市
k47c004002 花海镇
h49c004001 酉阳土家族苗族自治县
b49c001002 西卫滩
h44c001003 亚热乡
i49c002003 洛阳市
l52c004002 亚布力镇
M52 黑河市
j47c004002 乌兰县
i48c001001 临夏市
i44c002003 镇亚
i46c001004 秀沟村
j43c003002 希托克阿勒
l45c003004 喀默斯特巴斯陶
l44c003002 莫嘎图
k45c004004 胜利村
h46c003002 乃东县
j47c004003 茶卡镇
g50c001001 宜春市
g49c002002 武冈市
k45c003004 辛格尔
j46c001001 巴什库尔干
n51c004003 呼中区
K52 吉林市
i47c004003 色达县
j49c001003 朔州市
i49c002004 郑州市
j44c002004 塔中联合站
m52c001001 呼玛县
e49c003003 北礁
e49c001002 琼海市
f49c002001 南宁市
k45c002001 巴音乌鲁乡
k50c004003 承德市
F47 普洱市
f50c003002 北卫滩
g48c004002 罗平县
h46c004004 巴昔卡
k49c002003 脑木更苏木
j43c004004 西合休乡
j43c001003 喀什市
h48c001003 阆中市
f49c001003 梧州市
i46c004001 扎曲乡
i47c002003 玛沁县
A49 曾母暗沙
f50c002001 香港
j46c001003 阿克塞哈萨克族自治县
i46c003003 索加乡
j46c002003 冷湖镇
g47c001001 曼加得镇
c49c003003 康泰滩
i44c004004 物玛乡
l44c003003 哈日布呼镇
l51c002004 大庆市
l51c001001 白狼镇
h50c002003 安庆市
h48c002003 南充市
K43 吐尔尕特山口
k46c002004 沁城乡
k51c003004 通化市
l45c001004 可可托海镇
j51c001001 长兴岛街道
l45c004002 石河子市
h48c002001 邛崃市
B49 南通礁
h45c004003 定结县
j47c002001 阿尔格勒泰村
m51c004001 绰河源镇
g49c004004 韶关市
j49c004003 临汾市
j49c003003 吕梁市
i50c001004 日照市
g50c002003 三明市
j47c004001 乌图村
d50c001003 黄岩岛
i45c002001 查多康日
j46c001002 登盖科
k44c002002 胡松图喀尔逊蒙古族乡
l50c002002 霍尔其格嘎查
i45c003002 古姆乡
k47c001001 额勒斯乌拉
k47c002002 黑鹰山
j47c002002 央隆乡
K47 额济纳旗
l53c003001 虎林市
j48c003003 吴忠市
h49c002001 利川市
k50c004001 张家口市
J46 格尔木市
J50 北京市
k52c001004 春化镇
j50c004001 邯郸市
F51 高雄市
k48c002001 雅干
g51c003001 台北县
k50c002001 正镶白旗
a49c001004 白玉暗沙
k46c003004 星星峡镇
k46c001003 巴里坤哈萨克自治县
d50c002001 一865高地
i44c001002 甜水海
l45c002003 喀拉玛盖乡
B50 安渡滩
i50c003002 淮北市
h45c001001 措勤县
i50c001003 临沂市
I47 玉树县
