subject,relationship,object
圣子,导演,李安
圣子,上映时间,2001年5月10日
色·戒,上映时间,2007年11月1日
色·戒,主演,汤唯
色·戒,主演,梁朝伟
色·戒,导演,李安
与魔鬼共骑,上映时间,1999年11月24日
与魔鬼共骑,主演,斯基特·乌尔里奇
与魔鬼共骑,导演,李安
绿巨人浩克,出品公司,环球影业
绿巨人浩克,导演,李安
绿巨人浩克,上映时间,2003年6月20日
绿巨人浩克,上映时间,2003年10月10日
断背山,上映时间,2005年12月9日
断背山,主演,杰克·吉伦哈尔
断背山,主演,希斯·莱杰
断背山,导演,李安
卧虎藏龙,上映时间,2000年
卧虎藏龙,主演,周润发
卧虎藏龙,主演,杨紫琼
卧虎藏龙,导演,李安
冰风暴,出品公司,美国福斯探照灯公司
冰风暴,导演,李安
理智与情感,主演,詹姆斯·弗雷特
理智与情感,导演,李安
暴君第三季,主演,亚当·雷纳
暴君第三季,主演,詹妮
暴君第三季,导演,大卫·叶茨
比利·林恩的中场战事,出品公司,索尼电影娱乐公司
比利·林恩的中场战事,导演,李安
制造伍德斯托克,上映时间,2009年8月14日
制造伍德斯托克,主演,迪米特利·马丁
制造伍德斯托克,导演,李安
双子杀手,上映时间,2019年10月11日
双子杀手,导演,李安
喜宴,上映时间,1993年8月4日
喜宴,主演,赵文瑄
喜宴,主演,米切尔·利
喜宴,导演,李安
饮食男女,主演,吴倩莲
饮食男女,主演,郎雄
饮食男女,上映时间,1994年8月3日
饮食男女,导演,李安
北京人在纽约,主演,王姬
北京人在纽约,主演,姜文
北京人在纽约,导演,郑晓龙
北京人在纽约,导演,冯小刚
少女小渔,上映时间,1995年4月22日
少女小渔,主演,刘若英
少女小渔,主演,庹宗华
少女小渔,导演,张艾嘉
月亮背面,导演,冯小刚
暴君第二季,制片人,craigwright
暴君第二季,制片人,howardgordon
暴君第二季,导演,davidyates
暴君第二季,主演,亚当·雷纳
暴君第二季,主演,詹妮佛·芬尼甘
推手,上映时间,1991年12月7日
推手,主演,王莱
推手,主演,郎雄
推手,导演,李安
一声叹息,出品公司,北京电影制片厂
一声叹息,主演,张国立
一声叹息,主演,徐帆
一声叹息,导演,冯小刚
