subject,relationship,object
绿巨人浩克,出品公司,环球影业
冰风暴,出品公司,美国福斯探照灯公司
比利·林恩的中场战事,出品公司,索尼电影娱乐公司
一声叹息,出品公司,北京电影制片厂
冤家父子,出品公司,北京电影制片厂
私人订制,出品公司,华谊兄弟传媒集团
非诚勿扰2,出品公司,华谊兄弟传媒有限公司
手机2,出品公司,浙江东阳美拉传媒有限
一九四二,出品公司,华谊
大撒把,出品公司,北京电影制片厂
大阅兵,出品公司,广西电影制片厂
孩子王,出品公司,西安电影制片厂
编辑部的故事,出品公司,北京电视艺术中心
天生胆小,出品公司,北京电影学院青年电影制片厂
霸王别姬,出品公司,汤臣电影有限公司
赵氏孤儿,出品公司,上海东方影视发行有限责任公司
道士下山,出品公司,新丽传媒股份有限公司
芳华,出品公司,浙江东阳美拉传媒有限公司
旺角卡门,出品公司,影之杰制作有限公司
重庆森林,出品公司,泽东电影公司
九一神雕侠侣,出品公司,天幕制作有限公司
妖猫传,出品公司,新丽传媒股份有限公司
堕落天使,出品公司,泽东电影公司
小狐仙,出品公司,永佳影业有限公司
摆渡人,出品公司,阿里影业
阿飞正传,出品公司,影之杰制作有限公司
撞死了一只羊,出品公司,上海繁花里企业发展有限公司
大唐玄奘,出品公司,中国电影股份有限公司
彩云曲,出品公司,新艺城影业公司
