subject,relationship,object
圣子,上映时间,2001年5月10日
色·戒,上映时间,2007年11月1日
与魔鬼共骑,上映时间,1999年11月24日
绿巨人浩克,上映时间,2003年6月20日
绿巨人浩克,上映时间,2003年10月10日
断背山,上映时间,2005年12月9日
卧虎藏龙,上映时间,2000年
制造伍德斯托克,上映时间,2009年8月14日
双子杀手,上映时间,2019年10月11日
喜宴,上映时间,1993年8月4日
饮食男女,上映时间,1994年8月3日
少女小渔,上映时间,1995年4月22日
推手,上映时间,1991年12月7日
手机,上映时间,2003年
大腕,上映时间,2001年12月21日
没完没了,上映时间,1999年
私人订制,上映时间,2013年
我不是潘金莲,上映时间,2016年9月8日
夜宴,上映时间,2006年
大撒把,上映时间,1992年
北辙南辕,上映时间,2021年7月11日
大阅兵,上映时间,1986年
孩子王,上映时间,1987年
荆轲刺秦王,上映时间,1999年
和你在一起,上映时间,2002年
搜索,上映时间,2012年7月6日
长津湖,上映时间,2021年9月30日
每个人都有他自己的电影,上映时间,2007年
东邪西毒,上映时间,1994年9月17日
爱神,上映时间,2004年12月3日
花样年华,上映时间,2000年9月29日
春光乍泄,上映时间,1997年5月30日
九一神雕侠侣,上映时间,1991年
猛鬼学堂,上映时间,1988年4月28日年
摆渡人,上映时间,2016年12月23日
空心大少爷,上映时间,1983年
我要金龟婿,上映时间,1986年
阿飞正传,上映时间,1990年12月15日
