subject,relation,object
卡俄斯,交集,盖亚
卡俄斯,交集,塔耳塔洛斯
卡俄斯,交集,厄洛斯
盖亚,交集,卡俄斯
盖亚,交集,乌拉诺斯
盖亚,交集,蓬托斯
盖亚,交集,乌瑞亚
盖亚,交集,瑞亚
盖亚,交集,宙斯
乌拉诺斯,交集,盖亚
塔耳塔洛斯,交集,盖亚
塔耳塔洛斯,交集,克洛诺斯
塔耳塔洛斯,交集,宙斯
塔耳塔洛斯,交集,波塞冬
塔耳塔洛斯,交集,哈迪斯
提丰,交集,盖亚
提丰,交集,堤丰
提丰,交集,厄喀德那
提丰,交集,海德拉
提丰,交集,斯芬克斯
提丰,交集,刻耳柏洛斯
提丰,交集,拉冬
提丰,交集,斯库拉
厄洛斯,交集,卡俄斯
厄洛斯,交集,盖亚
厄洛斯,交集,塔耳塔洛斯
厄洛斯,交集,阿瑞斯
厄洛斯,交集,阿佛洛狄忒
厄瑞玻斯,交集,卡俄斯
厄瑞玻斯,交集,塔耳塔洛斯
厄瑞玻斯,交集,埃忒尔
厄瑞玻斯,交集,倪克斯
厄瑞玻斯,交集,赫墨拉
埃忒尔,交集,厄瑞玻斯
埃忒尔,交集,倪克斯
倪克斯,交集,卡俄斯
倪克斯,交集,厄瑞玻斯
倪克斯,交集,宙斯
倪克斯,交集,赫拉
倪克斯,交集,赫卡忒
蓬托斯,交集,盖亚
蓬托斯,交集,涅柔斯
蓬托斯,交集,陶玛斯
蓬托斯,交集,福耳库斯
蓬托斯,交集,刻托
蓬托斯,交集,欧律比亚
蓬托斯,交集,比亚
乌瑞亚,交集,盖亚
乌瑞亚,交集,乌拉诺斯
乌瑞亚,交集,蓬托斯
乌瑞亚,交集,瑞亚
克洛诺斯,交集,盖亚
克洛诺斯,交集,乌拉诺斯
克洛诺斯,交集,宙斯
克洛诺斯,交集,塔罗
俄刻阿诺斯,交集,盖亚
俄刻阿诺斯,交集,乌拉诺斯
俄刻阿诺斯,交集,波塔摩斯
俄刻阿诺斯,交集,俄刻阿尼得斯
许珀里翁,交集,乌拉诺斯
许珀里翁,交集,赫利俄斯
科俄斯,交集,盖亚
科俄斯,交集,乌拉诺斯
克利俄斯,交集,乌拉诺斯
伊阿珀托斯,交集,阿特拉斯
伊阿珀托斯,交集,墨诺提俄斯
瑞亚,交集,盖亚
瑞亚,交集,乌拉诺斯
瑞亚,交集,克洛诺斯
忒亚,交集,盖亚
忒亚,交集,乌拉诺斯
福柏,交集,盖亚
福柏,交集,乌拉诺斯
福柏,交集,科俄斯
忒弥斯,交集,乌拉诺斯
忒弥斯,交集,宙斯
忒弥斯,交集,荷赖
忒弥斯,交集,墨提斯
谟涅摩叙涅,交集,盖亚
谟涅摩叙涅,交集,乌拉诺斯
谟涅摩叙涅,交集,俄刻阿诺斯
谟涅摩叙涅,交集,宙斯
谟涅摩叙涅,交集,缪斯
赫利俄斯,交集,许珀里翁
赫利俄斯,交集,忒亚
赫利俄斯,交集,塞勒涅
赫利俄斯,交集,厄俄斯
赫利俄斯,交集,阿波罗
塞勒涅,交集,忒亚
塞勒涅,交集,赫利俄斯
塞勒涅,交集,厄俄斯
厄俄斯,交集,许珀里翁
厄俄斯,交集,忒亚
厄俄斯,交集,赫利俄斯
厄俄斯,交集,塞勒涅
勒托,交集,科俄斯
勒托,交集,瑞亚
勒托,交集,福柏
勒托,交集,忒弥斯
勒托,交集,阿斯忒瑞亚
勒托,交集,宙斯
勒托,交集,阿波罗
勒托,交集,阿尔忒弥斯
阿斯忒瑞亚,交集,科俄斯
阿斯忒瑞亚,交集,瑞亚
阿斯忒瑞亚,交集,福柏
阿斯忒瑞亚,交集,勒托
阿斯忒瑞亚,交集,阿斯特赖俄斯
