name,text
卡俄斯,卡俄斯（又译卡欧斯、卡奥斯；英语/拉丁语：Chaos；希腊语：Χάος），原初秩序、时间和空间及载体本身，世界的开端及开始。根据古希腊神谱（公元前7世纪）描述：宇宙之初，卡俄斯最先独自诞生，是无边无际、充满黑暗和光亮的载体。随卡俄斯之后，先诞生大地之神盖亚（Gaia）随后地狱深渊神塔耳塔洛斯（Tartarus）和爱神厄洛斯（Eros）相继独立诞生，世界由此开始。
盖亚,盖亚（希腊语：Γαία、英语：Gaia(Gaea)），是古希腊神话中的大地女神，众神之母，所有神灵中德高望重的显赫之神，盖亚与混沌（卡俄斯）同时诞生，也是第一位超原始神明，她是大地的神格化，是第一位真正意义上的创世神，也是能创造生命的原始自然力之一（大地）。她的出现标志着混沌开始由无序转为有序，也标志着万物开始产生。《神谱》中这样描述她：“冲突与混乱来自于万神之母盖亚，也正是这位大母神生出了所有光明宇宙的天神。在她的身上，我们既看到了创造，又看到了毁灭，既看到了秩序，又看到了混乱，而总的说来，黑暗和混沌是她的本质。”[1] 她是宙斯的祖母，她生下了天神乌拉诺斯（Uranos）、海神蓬托斯（Pontus）和山神乌瑞亚（Ourea），并与乌拉诺斯结合生了十二提坦巨神、三个独眼巨人、三个百臂巨人，而所有天神都是她的子孙后代。
乌拉诺斯,乌拉诺斯（英语：Uranus）[1] 是古希腊神话中的第一代神王、天空之神。从大地之神盖亚的指端诞生，最初作为宇宙统治者的第一代众神之王、即天空的神格化。象征希望与未来，并代表天空。乌拉诺斯既是盖亚的儿子，也是盖亚的丈夫，是十二提坦巨神、独眼巨人与百臂巨人的父亲。[2] 
塔耳塔洛斯,"塔尔塔洛斯（Τάρταρος, Tartarus）是“地狱”的代名词，是地狱冥土的本体。塔尔塔洛斯在盖亚诞生后诞生，是人死后灵魂的归所，用冥河与人间世界连通。神话中，主神宙斯囚禁了自己的父亲万神之主克洛诺斯而取得天、地、海和地狱的统治权后，自己留下天空和万神主人的身份，把大地留给自己的祖母盖亚，把海洋赠给自己的哥哥波塞冬，地狱被送给自己的大哥哈迪斯（Hades），这样，在神话中的哈迪斯就成为地狱的代名词（事实上他是冥王）。 复仇女神平时在这里居住，责罚着犯下永恒罪孽的人或神。"
提丰,提丰（希腊语：Τυφωευς / Τυφων / Τυφαων / Τυφως；英语： Typhoeus / Typhon / Typhaon / Typhos），又译堤丰。是希腊神话中象征风暴的泰坦巨人。据《神谱》记载，堤丰为大地之母盖亚之子。传说降生之地在奇里乞亚地区的山洞里。拥有百龙之首、漆黑之舌、喷火之目，身体比天还高，浑身覆有羽毛并生有一对翅膀。提丰与妻子厄喀德那生下了许多可怕的魔怪，如百首巨龙拉冬、九头蛇海德拉、地狱三头犬刻耳柏洛斯、双头犬欧特鲁斯、尼米亚猛狮、狮头羊身怪奇美拉、狮身人面兽斯芬克斯、海怪斯库拉等
厄洛斯,厄洛斯（古希腊语：Ἔρως，英语：Eros），最早的来源称他是参与世界创造的一位原始神，赫西俄德认为：他是世界之初创造万物的基本动力，是一切爱欲和情欲的象征，但在柏拉图之后，他被认为是爱神阿佛洛狄忒的儿子，一个手持弓箭的美少年。在早期神话中，厄洛斯被认为是与卡俄斯一起诞生的原始神，是卡俄斯、最初的大地女神盖亚、深渊之神塔耳塔洛斯的同辈，与其同辈神同样具有原始神灵的特点，被认为是一切神灵情爱的的化身。在晚期希腊神话中，厄洛斯是阿佛洛狄忒和阿瑞斯私通而生的小儿子 [1]  ，形象为一个手拿弓箭、光着小脚丫、长有一对小翅膀的淘气小男孩。而到了后来，厄洛斯的形象又转变为一个容貌英俊的男青年。
厄瑞玻斯,厄瑞玻斯（古希腊语：Ἔρεβος/Ἐρέβευς 英语：Erebus）[1] ，由卡俄斯（Chaos/Khoas）所生。他是黑夜女神倪克斯的哥哥和丈夫，并且和她生下了埃忒尔、赫墨拉 （见赫西俄德《神谱》）。神话中他也是地下世界的一个部分，位于大地（或者说阳世）与冥土之间[2] ，是死者最先经过的地方，有时又和塔耳塔洛斯混同。
埃忒尔,埃忒尔（Αἰθήρ，Aether）：天空之神，厄瑞玻斯与倪克斯之子。埃忒尔，在希腊神话中是“太空”的拟人化神，他代表了太空。
倪克斯,倪克斯（希腊文：Νύξ，英文：Nyx），罗马又称诺克斯（Nox），是希腊神话中的黑夜女神，为原始神之一，夜的本体与化身，与丈夫和哥哥厄瑞玻斯一同由混沌卡俄斯所生。倪克斯不仅神位崇高，是希腊神话中为数不多在所有神话体系中拥有强大力量的伟大神明之一，还具有同时制约凡人和众神的强大力量。倪克斯是有天光、白昼、梦、死亡、睡眠、命运、痛苦、衰老、辛劳等具有象征意义的神祇。倪克斯与赫卡忒、赫拉克勒斯等为宙斯敬重的神，倪克斯在俄耳甫斯教是宙斯的养母。[1] 
蓬托斯,蓬托斯（Πόντος/ Pontos，“波涛”）在希腊神话中是象征“大海”的男神。他是大地母神盖亚产生的海神。他和盖亚又生育了象征大海友善的海洋老人涅柔斯、象征大海奇迹的陶玛斯、象征大海愤怒的福耳库斯、象征大海危险的刻托、象征大海力量的欧律比亚。
乌瑞亚,乌瑞亚（Oὔρος，Ourea）：古希腊神话中理解为神格化的「山」神，地母盖亚（Gaea）之子，乌拉诺斯（Uranus）及蓬托斯（Pontus）之弟。因大地的运动，于平坦之中生出凹凸，高耸入云的凸起即为“山”。
克洛诺斯,克洛诺斯（古希腊语：Κρόνος；英语：Kronos），是古希腊神话中的第二代神王，原为第一代神王神后乌拉诺斯和盖亚的儿子，泰坦十二神中最年轻的一个。人们常常把他跟古希腊俄耳甫斯教的时间之神柯罗诺斯（古希腊语：Χρόνος；英文名：Chronos / Khronos）相混淆。值得注意并区分的是，虽然同属古希腊神话体系，但柯罗诺斯与赫西俄德的《神谱》中的泰坦（Titans）神族的神王克洛诺斯（Kronos 古希腊语：Κρόνος，宙斯之父）并不是一个人物，只是名字写法相似。两者虽同属于古希腊文明，但出自不同教派，彼此之间原本没有什么对应和关联。克洛诺斯推翻了他父亲乌拉诺斯的残暴统治后，领导了希腊神话中的黄金时代，直到他被他自己的儿子宙斯推翻之后。他和其他的泰坦神大多被关在地狱的塔尔塔罗斯之中。
俄刻阿诺斯,俄刻阿诺斯（Oceanus) 或称欧申纳斯。十二提坦神（Titans)之一，水神大洋神，他是那条环绕着宇宙转动的河流腰带，故而他的结尾也是开端：这条宇宙之河自我组成一个圆圈在转动。他的妻子是他的姐姐海之女神泰西斯（Tethys），他们生了大洋神女（俄刻阿尼得斯）与河神（波塔摩斯），几乎世上所有的海洋河流。欧申纳斯（古希腊语：Ὠκεανός）希腊神话里的一个提坦巨神，大洋河的河神。所谓大洋河是希腊人想象中环绕整个大地的巨大河流，代表了世界上的全部海域。在最原始的荷马史诗里，俄刻阿诺斯是原始神之一，与其妻泰西斯一起为其他所有神的始祖，是一对创世神夫妇。而后来被广为接受的赫西俄德的体系则把他划为由原始神产生的第二代神，为地母盖亚与天神乌拉诺斯之子。
许珀里翁,许珀里翁，男，十二提坦之一，本意为“穿越高空者”，在《伊利亚特》中用于修饰或指代日神赫利俄斯。在《奥德赛》中为赫利俄斯之父，但在荷马史诗中他不是提坦，赫西俄德认为他是该亚和乌拉诺斯之子，在赫西俄德之后，其身为提坦的身份不可动摇。在许癸努斯的《传说集》前揭中，其由埃忒耳所生。
科俄斯,科俄斯（古希腊语：Κοῖος，英语：Coeus）是乌拉诺斯和盖亚之子。十二提坦神之一，κοῖος在古希腊语中是疑问词“什么，什么样的”其他含义未知。但从《神谱》404行到452行来看科俄斯的司掌的应该和天体有关。和其他第一代提坦一样，科俄斯是地神盖亚与天神乌拉斯诺之子。没有什么关于科俄斯的神话，他只是在列举提坦的名字时才被连带着提到。
克利俄斯,克利俄斯或克瑞俄斯，古希腊神话中天父乌拉诺斯与地母盖娅所生的12位泰坦之一。
