王嬷嬷,黛玉,奶娘
金文翔,鸳鸯,哥哥
金文翔,贾母,买办
金彩,鸳鸯,父
鲍二家的,鲍二,妻子
马尚,马魁,孙子
臻儿,香菱,丫鬟
陈瑞文,陈翼,孙子
李公子,长安府府太爷,小舅子
金哥,长安县大财主张姓,女儿
云儿,锦香院,妓女
金氏,金荣,姑妈
金氏,贾璜,妻
胡氏,金荣,母
贾璜,金氏,夫
王子腾,都太尉统制县伯,后
王子胜,都太尉统制县伯,后
王子胜,王子腾,弟
篆儿,邢岫烟,丫鬟
王善保家的,邢夫人,陪房
王善保家的,司棋,外祖母
邢岫烟,邢夫人,侄女
邢岫烟,薛蝌,妻
邢忠,邢夫人,兄
邢忠,邢岫烟,父
赵国基,赵姨娘,兄弟
小吉祥儿,赵姨娘,丫鬟
小鹊,赵姨娘,丫鬟
赖大的母亲,赖大,母亲
赖大的母亲,赖二,母亲
司棋,贾迎春,丫鬟
莲花儿,贾迎春,丫鬟
绣橘,贾迎春,丫鬟
翠云,贾赦,侍妾
贾琏,贾赦,子
贾琮,贾赦,子
邢夫人,贾赦,妻
贾迎春,贾赦,女
胡氏,贾蓉续娶,妻
许氏,贾蓉续娶,妻
许氏,贾蓉,续弦妻子
秦可卿,贾蓉,妻
娄氏,贾菌,母
周氏,贾芹,母
倪二,贾芸,邻居
卜世仁,贾芸,舅舅
卜世仁,香料铺,掌柜
王嫂子,贾芸,母
四姐,贾琼,妹妹
隆儿,贾琏,小厮
赵嬷嬷,贾琏,奶妈
赵嬷嬷,赵天梁,母
赵嬷嬷,赵天栋,母
王熙凤,贾琏,妻
昭儿,贾琏,小厮
昭儿,王熙凤,小厮
庆儿,贾琏,小厮
庆儿,王熙凤,小厮
王信,贾琏,小厮
王信,王熙凤,小厮
来旺,贾琏,仆人
来旺,王熙凤,仆人
贾巧姐,贾琏,女
贾巧姐,王熙凤,女
李纨,贾珠,妻
贾兰,贾珠与李纨,子
兴儿,贾珍,小厮
喜儿,贾珍,小厮
寿儿,贾珍,小厮
卐儿,贾珍和尤氏,丫鬟
贾蓉,贾珍,子
佩凤,贾珍,妾
偕鸾,贾珍,妾
文花,贾珍,妾
尤氏,贾珍,妻
钱槐,贾环,小厮
钱槐,赵姨娘,内侄
贾代善,贾源,长子
贾代善,贾宝玉,祖父
鸳鸯,贾母,丫鬟
琥珀,贾母,丫鬟
珍珠,贾母,丫鬟
玻璃,贾母,丫鬟
翡翠,贾母,丫鬟
鹦鹉,贾母,丫鬟
靛儿,贾母,丫鬟
傻大姐,贾母,丫头
贾珍,贾敬,子
贾惜春,贾敬,女
贾惜春,贾珍,胞妹
贾珠,贾政,长子
贾元春,皇宫中,贤德妃
傅试,贾政,门生
程日兴,贾政,清客相公
单聘仁,贾政,清客相公
卜固修,贾政,清客相公
胡斯来,贾政,清客相公
贾宝玉,贾政,次子
赵姨娘,贾政,妾
赵姨娘,探春,母
赵姨娘,贾环,母
周姨娘,贾政,妾
待书,贾探春,丫鬟
翠墨,贾探春,丫鬟
蝉姐,贾探春,丫鬟
入画,贾惜春,丫鬟
彩屏,贾惜春,丫鬟
贾敕,贾府,远房宗族
贾效,贾府,远房宗族
贾敦,贾府,远房宗族
贾珩,贾府,远房宗族
贾㻞,贾府,远房宗族
贾珖,贾府,远房宗族
贾琛,贾府,远房宗族
贾琼,贾府,远房宗族
贾璘,贾府,远房宗族
贾萍,贾府,远房宗族
贾菖,贾府,远房宗族
贾菱,贾府,远房宗族
贾蓁,贾府,远房宗族
贾藻,贾府,远房宗族
贾蘅,贾府,远房宗族
贾芬,贾府,远房宗族
贾芳,贾府,远房宗族
贾芝,贾府,远房宗族
贾荇,贾府,远房宗族
贾芷,贾府,远房宗族
小玄儿,贾府角门看门,小厮
钱华,贾府,买办
余信,贾府掌管寺庙月例银子,管家
柳家的,贾府做饭,佣人
柳家的,五儿,母
孙绍祖,贾府世交,后
孙绍祖,贾迎春,夫
贾代儒,贾瑞,祖父
茗烟,贾宝玉,小厮
锄药,贾宝玉,小厮
墨雨,贾宝玉,小厮
伴鹤,贾宝玉,小厮
扫花,贾宝玉,小厮
引泉,贾宝玉,小厮
挑芸,贾宝玉,小厮
双瑞,贾宝玉,小厮
双寿,贾宝玉,小厮
佳蕙,贾宝玉,小丫鬟
王荣,贾宝玉,仆人
钱启,贾宝玉,仆人
张若锦,贾宝玉,仆人
赵亦华,贾宝玉,仆人
茜雪,贾宝玉,丫鬟
晴雯,贾宝玉,丫鬟
四儿,贾宝玉,丫鬟
春燕,贾宝玉,丫鬟
媚人,贾宝玉,丫鬟
绮霰,贾宝玉,丫鬟
麝月,贾宝玉,丫鬟
檀云,贾宝玉,丫鬟
秋纹,贾宝玉,丫鬟
碧浪,贾宝玉,丫鬟
坠儿,贾宝玉,丫鬟
马道婆,贾宝玉寄名,干娘
抱琴,贾元春,丫鬟
史太君,贾代善,妻
贾敏,贾代善与贾母,幺女
贾敏,林黛玉,生母
贾敷,贾代化,长子
贾敷,贾敬,兄
贾敬,贾代化,次子
喜鸾,贾㻞,妹妹
蒋玉菡,贵顺亲王府,戏子
女先儿,说书,女艺人
山子野,设计大观园,园艺师
戚建辉,襄阳侯,孙
花母,袭人,母亲
花自芳,袭人,兄
夏金桂,薛蟠,妻
薛宝琴,薛蝌,妹
莺儿,薛宝钗,丫鬟
文杏,薛宝钗,丫鬟
小螺,薛宝琴,丫鬟
同喜,薛姨妈,丫头
同贵,薛姨妈,丫头
薛宝钗,薛姨妈,女
门子,葫芦庙,小和尚
多官,荣国府,酒头厨子
赖大,赖尚荣,父
赖尚荣,荣国府大管家赖大,子
林之孝,小红,父亲
贾源,贾宝玉,曾祖父
叶妈,茗烟,母亲
叶妈,大观园花草,佣人
叶妈,莺儿,干娘
石光珠,缮国公,孙子
戴良,管粮仓,头目
田妈,管理大观园谷物庄稼,佣人
祝妈,管理大观园竹林,佣人
秦业,秦可卿,养父
秦业,秦钟,父亲
瑞珠,秦可卿,丫鬟
宝珠,秦可卿,丫鬟
冯紫英,神武将军冯唐,子
神瑛侍者,贾宝玉,前身
绛珠仙子,受神瑛侍者甘露,恩
绛珠仙子,林黛玉,前身
张妈,看后门,佣人
张华,皇粮庄,庄头之后
吴贵妃,皇宫中,贵妃
薛蝌,皇商,子
薛蝌,薛姨妈,侄
小童,甄家,奴仆
严老爷,甄士隐,朋友
封肃,甄士隐,岳父
霍启,甄士隐家,奴仆
姣杏,甄士隐家,丫鬟
封氏,甄士隐,妻
香菱,甄士隐,女
香菱,后为薛蟠,妾
平儿,王熙凤,通房大丫鬟
丰儿,王熙凤,丫鬟
王仁,王熙凤,兄
