subject,relationship,object
色·戒,主演,汤唯
色·戒,主演,梁朝伟
与魔鬼共骑,主演,斯基特·乌尔里奇
断背山,主演,杰克·吉伦哈尔
断背山,主演,希斯·莱杰
卧虎藏龙,主演,周润发
卧虎藏龙,主演,杨紫琼
理智与情感,主演,詹姆斯·弗雷特
暴君第三季,主演,亚当·雷纳
暴君第三季,主演,詹妮
制造伍德斯托克,主演,迪米特利·马丁
喜宴,主演,赵文瑄
喜宴,主演,米切尔·利
饮食男女,主演,吴倩莲
饮食男女,主演,郎雄
北京人在纽约,主演,王姬
北京人在纽约,主演,姜文
少女小渔,主演,刘若英
少女小渔,主演,庹宗华
暴君第二季,主演,亚当·雷纳
暴君第二季,主演,詹妮佛·芬尼甘
推手,主演,王莱
推手,主演,郎雄
一声叹息,主演,张国立
一声叹息,主演,徐帆
最后骑士,主演,丹尼斯·霍珀
冤家父子,主演,徐帆
暴君,主演,亚当·雷纳
暴君,主演,阿什拉夫·巴姆
关中刀客,主演,傅彪
关中刀客,主演,徐帆
少年派的奇幻漂流,主演,拉菲·斯波
少年派的奇幻漂流,主演,苏拉·沙玛
手机,主演,葛优
手机,主演,范冰冰
大腕,主演,葛优
大腕,主演,关之琳
没完没了,主演,葛优
没完没了,主演,傅彪
私人订制,主演,葛优
私人订制,主演,白百何
非诚勿扰2,主演,葛优
非诚勿扰2,主演,舒淇
天下无贼,主演,刘若英
天下无贼,主演,刘德华
非诚勿扰,主演,葛优
非诚勿扰,主演,舒淇
一九四二,主演,张国
一地鸡毛,主演,徐帆
一地鸡毛,主演,陈道明
只有芸知道,主演,黄轩
只有芸知道,主演,杨采钰
遭遇激情,主演,袁苑
遭遇激情,主演,吕丽萍
大撒把,主演,葛优
大撒把,主演,徐帆
大阅兵,主演,王学圻
大阅兵,主演,孙淳
孩子王,主演,谢园
集结号,主演,邓超
集结号,主演,张涵予
边走边唱,主演,黄磊
天生胆小,主演,葛优
天生胆小,主演,马羚
梅兰芳,主演,章子怡
梅兰芳,主演,黎明
赵氏孤儿,主演,葛优
赵氏孤儿,主演,王学圻
风月,主演,张国荣
风月,主演,巩俐
道士下山,主演,王宝
搜索,主演,姚晨
搜索,主演,高圆圆
尘埃里开花,主演,刘昊然
尘埃里开花,主演,陈飞宇
温柔地杀我,主演,海瑟·格
长津湖,主演,易烊千玺
长津湖,主演,吴京
无极,主演,张东健
无极,主演,真田广之
每个人都有他自己的电影,主演,乔治·巴布鲁阿尼
蓝莓之夜,主演,诺拉
一代宗师,主演,章子怡
一代宗师,主演,梁朝伟
我和我的祖国,主演,黄渤
东邪西毒,主演,张国荣
东邪西毒,主演,林青
爱神,主演,巩俐
爱神,主演,张震
花样年华,主演,张曼玉
花样年华,主演,梁朝伟
春光乍泄,主演,张国荣
春光乍泄,主演,梁朝伟
旺角卡门,主演,张曼玉
旺角卡门,主演,刘德华
重庆森林,主演,林青霞
重庆森林,主演,梁朝
再战江湖,主演,罗美薇
再战江湖,主演,任达华
猎鹰计划,主演,刘德华
猎鹰计划,主演,吕良伟
猛鬼差馆,主演,张学友
猛鬼差馆,主演,许冠英
堕落天使,主演,李嘉欣
堕落天使,主演,黎明
恶男,主演,陈勋奇
江湖龙虎斗,主演,周润发
江湖龙虎斗,主演,邓光荣
猛鬼学堂,主演,张学友
猛鬼学堂,主演,许冠英
神勇双响炮续集,主演,元彪
神勇双响炮续集,主演,卢冠廷
最后胜利,主演,徐克
最后胜利,主演,曾志伟
小狐仙,主演,陈勋奇
小狐仙,主演,倪淑君
摆渡人,主演,金城武
摆渡人,主演,梁朝伟
空心大少爷,主演,叶倩文
龙凤智多星,主演,张国荣
龙凤智多星,主演,冯淬帆
地下铁,主演,杨千嬅
地下铁,主演,梁朝
初缠恋后的二人世界,主演,金城武
天下无双,主演,王菲
天下无双,主演,梁朝
渺渺,主演,范植伟
渺渺,主演,柯佳嬿
逆光飞翔,主演,张榕容
逆光飞翔,主演,黄裕
大唐玄奘,主演,徐峥
彩云曲,主演,徐杰
