name,des
圣子,《圣子》是李安执导的动作短片，于2001年5月10日上映
色·戒,《色·戒》是由李安执导，梁朝伟、汤唯主演的剧情片，于2007年11月1日在中国上映。该片改编自作家张爱玲的同名短篇小说，以20世纪40年代抗日战争时期的上海为背景，讲述女大学生王佳芝利用美色接近汉奸易先生意图行刺，佳芝成功勾引易先生并准备下手时，却发现自己已动真情，于是通风报信让易先生逃过一劫，易先生却决定将他们赶尽杀绝的故事。
与魔鬼共骑,"《与魔鬼共骑》是由李安执导，斯基特·乌尔里奇、托比·马奎尔主演的战争片，于1999年11月24日在美国上映。该片以美国内战为背景，讲述了刚刚成年的男孩杰克因为南北战争的爆发毅然加入南方军的游击队中，最终在常年的战争中成长为一个男人的故事。
"
绿巨人浩克,《绿巨人浩克》（Hulk）是环球影业出品的一部超级英雄电影，改编自漫威漫画，由李安执导，艾瑞克·巴纳、詹妮弗·康纳利主演，影片于2003年6月20日在美国上映，于2003年10月10日在中国大陆上映。影片讲述科学家布鲁斯班纳在命运安排下成了父亲基因改造实验的试验品，每当情绪激动就变身成绿巨人，这使他成为美国军方的缉捕对象。
断背山,"《断背山》是由李安执导，希斯·莱杰、杰克·吉伦哈尔主演的爱情片，于2005年12月9日在美国上映。该片改编自安妮·普鲁克斯所著的同名短篇小说，讲述了在1963年至1981年的美国怀俄明州，两个男人之间存在着复杂情爱关系的故事。
"
卧虎藏龙,《卧虎藏龙》是2000年的一部武侠动作电影，由李安执导，周润发、杨紫琼等主演。影片于2000年7月8日在中国内地上映。电影讲述一代大侠李慕白有退出江湖之意，托付红颜知己俞秀莲将自己的青冥剑带到京城，作为礼物送给贝勒爷收藏。李慕白隐退江湖的举动实际却是惹来更多的江湖恩怨。
冰风暴,《冰风暴》是由美国福斯探照灯公司出品的剧情片，由李安执导，凯文·克莱恩、琼·艾伦联合主演。影片于1997年9月27日在美国上映。该片讲述了1970年美国康涅狄格州一个中产家庭濒临破裂边缘的故事。
理智与情感,《理智与情感》是由李安执导， 詹姆斯·弗雷特、哈里特·沃特尔等主演，改编自英国女作家简·奥斯汀的同名小说的爱情电影。影片讲述一个英国庄园主去世后，由于遗产法规定家产只传男不传女，他的女儿们都面临着扫地出门的命运，嫁一个好丈夫便成了她们的燃眉之急。大女儿为了全家的幸福她深深藏起自己的儿女私情；小女儿为了追求爱情甘愿付出。
暴君第三季,《暴君第三季》(Tyrant Season 3)是2016年由大卫·叶茨执导，亚当·雷纳、詹妮佛·芬尼甘等主演的美剧。
比利·林恩的中场战事,《比利·林恩的中场战事》是由美国索尼电影娱乐公司发行，由李安执导，乔·阿尔文、克里斯汀·斯图尔特联合主演剧情片。《比利·林恩的中场战事》根据本·芳汀同名小说改编，讲述了在伊拉克战争中的美国士兵比利·林恩与战友战胜归来并被誉为美国英雄，在一场橄榄球公开赛的中场表演过程中，揭露这群士兵在战场上真实经历的故事。
制造伍德斯托克,《制造伍德斯托克》是由李安执导，迪米特利·马丁、亨利·古德曼等人主演的一部喜剧片，于2009年8月14日在美国公映。影片根据埃利奥特·提伯的回忆录《制造伍德斯托克：一个关于骚动、音乐会和人生的真实故事》改编，描述20世纪60年代美国同志作家兼设计师埃利奥特提伯创办1969年伍德斯托克音乐节的经过。
